Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Bearbeiter;Bemerkungen;;;;;;
13.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Zehnder;;;;;;;
14.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn;;;;;;;
14.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn;;;;;;;
15.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel;Stauffer;;;;;;;
15.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Stauffer;;;;;;;
15.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
15.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
16.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Stoeckli;;;;;;;
16.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli;;;;;;;
16.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Stoeckli;;;;;;;
16.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel;Stoeckli;;;;;;;
16.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli;;;;;;;
17.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;23;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;4;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;2;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;2;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;73;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel;Stoeckli_Steiner;;;;;;;
17.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;18;Kessel;Stoeckli_Steiner;;;;;;;
